section,item,percent_or_type,token_amount,vesting,notes,extra
FOUNDERS,Founder 1 Allocation,10%,"35,000,000","4-year vesting, 1-year cliff","Locked, linear release",
FOUNDERS,Founder 2 Allocation,10%,"35,000,000","4-year vesting, 1-year cliff","Locked, linear release",
FOUNDING_MEMBERS,Founding Member 1,0.7692%,2692308,"3-year vesting, 6-month cliff",Monthly linear release,
FOUNDING_MEMBERS,Founding Member 2,0.7692%,2692308,"3-year vesting, 6-month cliff",Monthly linear release,
FOUNDING_MEMBERS,Founding Member 3,0.7692%,2692308,"3-year vesting, 6-month cliff",Monthly linear release,
FOUNDING_MEMBERS,Founding Member 4,0.7692%,2692308,"3-year vesting, 6-month cliff",Monthly linear release,
FOUNDING_MEMBERS,Founding Member 5,0.7692%,2692308,"3-year vesting, 6-month cliff",Monthly linear release,
FOUNDING_MEMBERS,Founding Member 6,0.7692%,2692308,"3-year vesting, 6-month cliff",Monthly linear release,
FOUNDING_MEMBERS,Founding Member 7,0.7692%,2692308,"3-year vesting, 6-month cliff",Monthly linear release,
FOUNDING_MEMBERS,Founding Member 8,0.7692%,2692308,"3-year vesting, 6-month cliff",Monthly linear release,
FOUNDING_MEMBERS,Founding Member 9,0.7692%,2692308,"3-year vesting, 6-month cliff",Monthly linear release,
FOUNDING_MEMBERS,Founding Member 10,0.7692%,2692308,"3-year vesting, 6-month cliff",Monthly linear release,
FOUNDING_MEMBERS,Founding Member 11,0.7692%,2692308,"3-year vesting, 6-month cliff",Monthly linear release,
FOUNDING_MEMBERS,Founding Member 12,0.7692%,2692308,"3-year vesting, 6-month cliff",Monthly linear release,
FOUNDING_MEMBERS,Founding Member 13,0.7692%,2692308,"3-year vesting, 6-month cliff",Monthly linear release,
ANTI_DUMP,Vesting Locks,Mandatory,All founders & members,Prevents immediate dumping,Long-term stability,
ANTI_DUMP,Cliff Period,6-12 months,No tokens released early,Stops instant selling,,
ANTI_DUMP,Linear Unlock,Monthly,Smooth supply release,Avoids supply shock,,
ANTI_DUMP,Multi-Sig Approval,Required,Treasury movements,Prevents rogue sell-offs,,
ANTI_DUMP,Wallet Restrictions,Time-based,Team wallets locked,Stops dump activity,,
ANTI_DUMP,Staking Incentives,Higher APR,Encourages holding,Reduces circulating supply,,
ANTI_DUMP,Buyback Engine,Automated,Uses revenue,Supports price floor,,
PROTECTION,Whale Control,Max wallet limit,Prevents dominance,Reduce black-swan events,,
PROTECTION,Max Daily Sell Limit,1-3% cap,Stops large dumps,Protects token price,,
PROTECTION,Liquidity Lock,12-48 months,LP locked,Prevents rug pull,,
PROTECTION,Anti-Bot Rules,Cooldowns,Prevents flash dumping,,,
PROTECTION,Vesting Smart Contract,Immutable,Enforces rules,No manual override,,
PROTECTION,KYC on Founders,Optional,CEX requirement,Trust & safety,,
