section,item,value,extra1,extra2,extra3,extra4
TOKENOMICS,Total Supply,350000000,,,,
TOKENOMICS,Circulating at Launch,70000000,20%,,,
TOKENOMICS,Team Allocation,70000000,20%,4-year vesting,1-year cliff,
TOKENOMICS,Ecosystem Fund,105000000,30%,5-year lock,,
TOKENOMICS,Treasury,35000000,10%,3-year lock,,
TOKENOMICS,Staking Rewards,70000000,20%,Emission curve 5 yrs,,
VESTING,Team Vesting,20%,48 months,12-month cliff,Linear,
VESTING,Advisors,5%,24 months,6-month cliff,Linear,
VESTING,Investors,10%,18 months,No cliff,Monthly,
LP_RATIOS,Initial LP USDT,50000,,,
LP_RATIOS,Initial LP Tokens,5000000,,,
LP_RATIOS,Starting Price,0.01,,,,
LAUNCH_STRATEGY,DEX Listing,Monkol-DEX,Primary listing,,,
LAUNCH_STRATEGY,CEX Listing,Phase 2,After stability,,,
LAUNCH_STRATEGY,Presale %,10%,35M tokens,,,
LAUNCH_STRATEGY,LP Lock Duration,12 months,Anti-rug,,,
LAUNCH_STRATEGY,Market Making,MM bot activated,spread control,,,
LAUNCH_STRATEGY,Liquidity Accumulation,All token purchases directed to LP,Pool growth mechanism,,,
LAUNCH_STRATEGY,LP Security,Multi-signature wallets,Time-locked contracts,,,
LAUNCH_STRATEGY,Min Viable Liquidity,$100K required,Baseline for stability,,,
LAUNCH_STRATEGY,Marketing Budget,5% of supply,Strategic promotions,,,
LAUNCH_STRATEGY,Development Fund,3% of supply,Ongoing development,,,
LAUNCH_STRATEGY,Community Rewards,2% of supply,Early adopter incentives,,,
LAUNCH_STRATEGY,Audit Requirement,Pre-launch audit,Security verification,,,
LAUNCH_STRATEGY,KYC/AML Compliance,Selective KYC,Regulatory adherence,,,
LAUNCH_STRATEGY,Rug Pull Protection,Smart contract locks,Third-party custody,,,
LAUNCH_STRATEGY,Initial Funding,$200K target,Seed + private sale,,,
LAUNCH_STRATEGY,Reserve Allocation,15% of supply,Emergency fund,,,
LAUNCH_STRATEGY,Insurance Fund,1% of supply,Smart contract coverage,,,
LAUNCH_STRATEGY,Budget Alternative,Gradual liquidity building,Start small and grow,,,
LAUNCH_STRATEGY,Community Driven,DAO governance model,Let community fund growth,,,
LAUNCH_STRATEGY,Partnership Focus,Strategic alliances,In-kind liquidity contributions,,,
LAUNCH_STRATEGY,DEX Launch Strategy,Start with low-cost DEX,Minimize listing fees,,,
LAUNCH_STRATEGY,Organic Marketing,Community building focus,Social media engagement,,,
LAUNCH_STRATEGY,Influencer Strategy,Micro-influencers only,Budget-friendly promotion,,,
PRICE_MODEL,Target Price,0.20,Requires: MC 14M,Increase users + LP,,
PRICE_MODEL,Target Price,0.50,Requires: MC 35M,Staking + burns,,
PRICE_MODEL,Target Price,1.00,Requires: MC 70M,CEX listing,,
PRICE_MODEL,Target Price,5.00,Requires: MC 350M,Global adoption,,
